name,url
MQCFIN64 - 64-bit integer parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q049440_.html
MQCFSL - String list parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q049450_.html
MQCFST - String parameter,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q049460_.html
MQEPH - Embedded PCF header,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q049470_.html
MQZ_AUTHENTICATE_USER - Authenticate user,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110090_.html
MQZ_CHECK_AUTHORITY - Check authority,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110100_.html
MQZ_CHECK_AUTHORITY_2 - Check authority (extended),https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110110_.html
MQZ_CHECK_PRIVILEGED - Check if user is privileged,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110120_.html
MQZ_COPY_ALL_AUTHORITY - Copy all authority,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110130_.html
MQZ_DELETE_AUTHORITY - Delete authority,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110140_.html
MQZ_ENUMERATE_AUTHORITY_DATA - Enumerate authority data,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110150_.html
MQZ_FREE_USER - Free user,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110160_.html
MQZ_GET_AUTHORITY - Get authority,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110170_.html
MQZ_GET_AUTHORITY_2 - Get authority (extended),https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110180_.html
MQZ_GET_EXPLICIT_AUTHORITY - Get explicit authority,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110190_.html
MQZ_GET_EXPLICIT_AUTHORITY_2 - Get explicit authority (extended),https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110200_.html
MQZ_INIT_AUTHORITY - Initialize authorization service,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110210_.html
MQZ_INQUIRE - Inquire authorization service,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110220_.html
MQZ_REFRESH_CACHE - Refresh all authorizations,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110230_.html
MQZ_SET_AUTHORITY - Set authority,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110240_.html
MQZ_SET_AUTHORITY_2 - Set authority (extended),https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110250_.html
MQZ_TERM_AUTHORITY - Terminate authorization service,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110260_.html
MQZ_DELETE_NAME - Delete name,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110270_.html
MQZ_INIT_NAME - Initialize name service,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110280_.html
MQZ_INSERT_NAME - Insert name,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110290_.html
